sample-id,primer,Depth,env_broad_scale,env_local_scale,env_medium,geo_loc_name,Sample Name,ammonium,nitrate,diss_oxygen,ph,lake,info,depth,temp,conductivity,ChlA,turbidity,PAR,DRP,is_delta,latitude,longitude,BioProject,BioSample,BioSampleModel,Collection_Date,Experiment,geo_loc_name_country,geo_loc_name_country_continent,lat_lon,Library Name,Organism,SRA Study,elev,tot_org_carb,calcium,Chloride,magnesium,org_carb,sulfate,diss_org_carb,Salinity,potassium,sodium,TEMP,altitude
Bon18.1,1391f_EukBr,deep,Lake_Bonney_East,Ice-Covered Lake,mat,Antarctica,Bon18.1,13.8,0.04,,6.8,bonney,prostrate,18,4.6,28000,,,0.643143,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bon18.2,1391f_EukBr,deep,Lake_Bonney_East,Ice-Covered Lake,mat,Antarctica,Bon18.2,13.8,0.04,,6.8,bonney,prostrate,18,4.6,28000,,,0.643143,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bon18.3,1391f_EukBr,deep,Lake_Bonney_East,Ice-Covered Lake,mat,Antarctica,Bon18.3,13.8,0.04,,6.8,bonney,prostrate,18,4.6,28000,,,0.643143,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bon22.1,1391f_EukBr,deep,Lake_Bonney_East,Ice-Covered Lake,mat,Antarctica,Bon22.1,41,0.1,,6.67,bonney,prostrate,22,4.3,60600,,,0.414208,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bon22.2,1391f_EukBr,deep,Lake_Bonney_East,Ice-Covered Lake,mat,Antarctica,Bon22.2,41,0.1,,6.67,bonney,prostrate,22,4.3,60600,,,0.414208,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bon22.3,1391f_EukBr,deep,Lake_Bonney_East,Ice-Covered Lake,mat,Antarctica,Bon22.3,41,0.1,,6.67,bonney,prostrate,22,4.3,60600,,,0.414208,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
JWC25,1391f_EukBr,deep,Lake_Joyce,Ice-Covered Lake,water,Antarctica,JWC25,,,25,7.8,joyce,joyce_water_column_25,25,0.139,5626,0.28,0,,,Not_Delta,,,,,,,,,,,,,,,,,,,,,,,,,,
JWC27,1391f_EukBr,deep,Lake_Joyce,Ice-Covered Lake,water,Antarctica,JWC27,,,7.3,7.4,joyce,joyce_water_column_27,27,0.08,5973,0.02,0,,,Not_Delta,,,,,,,,,,,,,,,,,,,,,,,,,,
JWC37,1391f_EukBr,anoxic,Lake_Joyce,Ice-Covered Lake,water,Antarctica,JWC37,,,0.3,7.3,joyce,joyce_water_column_37,37,-0.007,6500,0.15,0,,,Not_Delta,,,,,,,,,,,,,,,,,,,,,,,,,,
V63MW,1391f_EukBr,deep,Lake_Vanda,Ice-Covered Lake,water,Antarctica,V63MW,,,,,vanda,vanda_water_column_63,63,15.92967,52909.27,,,,,,77.53841,161.5242,,,,,,,,,,,,,,,,,,,,,,,,
V66MW,1391f_EukBr,deep,Lake_Vanda,Ice-Covered Lake,water,Antarctica,V66MW,,,,,vanda,vanda_water_column_66,66,18.534,86529.1,,,,,,77.53841,161.5242,,,,,,,,,,,,,,,,,,,,,,,,
V71MW,1391f_EukBr,anoxic,Lake_Vanda,Ice-Covered Lake,water,Antarctica,V71MW,,,,,vanda,vanda_water_column_71,71,21.116,131745.9,,,,,,77.53841,161.5242,,,,,,,,,,,,,,,,,,,,,,,,
SRR12345880,1391f_EukBr,deep,Lake_Untersee,Ice-Covered Lake,mat,Antarctica,DH1-FF,,,,,untersee,untersee_benthic_mat,20,,,,,,,,,,PRJNA638357,SAMN15670615,Metagenome or environmental,2011-11,SRX8845599,uncalculated,uncalculated,71.3456 S 13.464 E,DH1-FF-18S,microbial mat metagenome,SRP274150,,,,,,,,,,,,,
SRR12345882,1391f_EukBr,deep,Lake_Untersee,Ice-Covered Lake,mat,Antarctica,DH1-CS,,,,,untersee,untersee_benthic_mat,20,,,,,,,,,,PRJNA638357,SAMN15670610,Metagenome or environmental,2011-11,SRX8845597,uncalculated,uncalculated,71.3456 S 13.464 E,DH1-CS-18S,microbial mat metagenome,SRP274150,,,,,,,,,,,,,
SRR12345884,1391f_EukBr,deep,Lake_Untersee,Ice-Covered Lake,mat,Antarctica,DH1-F,,,,,untersee,untersee_benthic_mat,20,,,,,,,,,,PRJNA638357,SAMN15670614,Metagenome or environmental,2011-11,SRX8845595,uncalculated,uncalculated,71.3456 S 13.464 E,DH1-F-18S,microbial mat metagenome,SRP274150,,,,,,,,,,,,,
SRR12345886,1391f_EukBr,deep,Lake_Untersee,Ice-Covered Lake,mat,Antarctica,DH1-CTF,,,,,untersee,untersee_benthic_mat,20,,,,,,,,,,PRJNA638357,SAMN15670613,Metagenome or environmental,2011-11,SRX8845593,uncalculated,uncalculated,71.3456 S 13.464 E,DH1-CTF-18S,microbial mat metagenome,SRP274150,,,,,,,,,,,,,
SRR12345888,1391f_EukBr,deep,Lake_Untersee,Ice-Covered Lake,mat,Antarctica,DH1-CT,,,,,untersee,untersee_benthic_mat,20,,,,,,,,,,PRJNA638357,SAMN15670612,Metagenome or environmental,2011-11,SRX8845591,uncalculated,uncalculated,71.3456 S 13.464 E,DH1-CT-18S,microbial mat metagenome,SRP274150,,,,,,,,,,,,,
SRR12345890,1391f_EukBr,deep,Lake_Untersee,Ice-Covered Lake,mat,Antarctica,DH1-CSF,,,,,untersee,untersee_benthic_mat,20,,,,,,,,,,PRJNA638357,SAMN15670611,Metagenome or environmental,2011-11,SRX8845589,uncalculated,uncalculated,71.3456 S 13.464 E,DH1-CSF-18S,microbial mat metagenome,SRP274150,,,,,,,,,,,,,
SRR12345891,1391f_EukBr,deep,Lake_Untersee,Ice-Covered Lake,mat,Antarctica,DH2-PB,,,,,untersee,untersee_benthic_mat,20,,,,,,,,,,PRJNA638357,SAMN15670624,Metagenome or environmental,2011-11,SRX8845588,uncalculated,uncalculated,71.3456 S 13.464 E,DH2-PB-18S,microbial mat metagenome,SRP274150,,,,,,,,,,,,,
SRR12345893,1391f_EukBr,deep,Lake_Untersee,Ice-Covered Lake,mat,Antarctica,DH2-P,,,,,untersee,untersee_benthic_mat,20,,,,,,,,,,PRJNA638357,SAMN15670623,Metagenome or environmental,2011-11,SRX8845586,uncalculated,uncalculated,71.3456 S 13.464 E,DH2-P-18S,microbial mat metagenome,SRP274150,,,,,,,,,,,,,
SRR12345895,1391f_EukBr,deep,Lake_Untersee,Ice-Covered Lake,mat,Antarctica,DH2-FLo,,,,,untersee,untersee_benthic_mat,20,,,,,,,,,,PRJNA638357,SAMN15670622,Metagenome or environmental,2011-11,SRX8845584,uncalculated,uncalculated,71.3456 S 13.464 E,DH2-FLo-18S,microbial mat metagenome,SRP274150,,,,,,,,,,,,,
SRR12345897,1391f_EukBr,deep,Lake_Untersee,Ice-Covered Lake,mat,Antarctica,DH2-FL,,,,,untersee,untersee_benthic_mat,20,,,,,,,,,,PRJNA638357,SAMN15670621,Metagenome or environmental,2011-11,SRX8845582,uncalculated,uncalculated,71.3456 S 13.464 E,DH2-FL-18S,microbial mat metagenome,SRP274150,,,,,,,,,,,,,
SRR12345899,1391f_EukBr,deep,Lake_Untersee,Ice-Covered Lake,mat,Antarctica,DH2-F,,,,,untersee,untersee_benthic_mat,20,,,,,,,,,,PRJNA638357,SAMN15670620,Metagenome or environmental,2011-11,SRX8845580,uncalculated,uncalculated,71.3456 S 13.464 E,DH2-F-18S,microbial mat metagenome,SRP274150,,,,,,,,,,,,,
SRR12345902,1391f_EukBr,deep,Lake_Untersee,Ice-Covered Lake,mat,Antarctica,DH2-CUF,,,,,untersee,untersee_benthic_mat,20,,,,,,,,,,PRJNA638357,SAMN15670619,Metagenome or environmental,2011-11,SRX8845577,uncalculated,uncalculated,71.3456 S 13.464 E,DH2-CUF-18S,microbial mat metagenome,SRP274150,,,,,,,,,,,,,
SRR12345904,1391f_EukBr,deep,Lake_Untersee,Ice-Covered Lake,mat,Antarctica,DH2-CTF,,,,,untersee,untersee_benthic_mat,20,,,,,,,,,,PRJNA638357,SAMN15670618,Metagenome or environmental,2011-11,SRX8845575,uncalculated,uncalculated,71.3456 S 13.464 E,DH2-CTF-18S,microbial mat metagenome,SRP274150,,,,,,,,,,,,,
SRR12345906,1391f_EukBr,deep,Lake_Untersee,Ice-Covered Lake,mat,Antarctica,DH1-PF,,,,,untersee,untersee_benthic_mat,20,,,,,,,,,,PRJNA638357,SAMN15670617,Metagenome or environmental,2011-11,SRX8845573,uncalculated,uncalculated,71.3456 S 13.464 E,DH1-PF-18S,microbial mat metagenome,SRP274150,,,,,,,,,,,,,
SRR12345908,1391f_EukBr,deep,Lake_Untersee,Ice-Covered Lake,mat,Antarctica,DH1-P,,,,,untersee,untersee_benthic_mat,20,,,,,,,,,,PRJNA638357,SAMN15670616,Metagenome or environmental,2011-11,SRX8845571,uncalculated,uncalculated,71.3456 S 13.464 E,DH1-P-18S,microbial mat metagenome,SRP274150,,,,,,,,,,,,,
SRR16573804,1391f_EukBr,surface,Commonwealth_glacier,Glacier Cryoconite,cryoconite,Antarctica,COM54,,,,,,,0.295,,,,,,,,,,PRJNA744712,SAMN20114950,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2007,SRX12775861,uncalculated,uncalculated,77.57 S 163.33 E,COM54,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573805,1391f_EukBr,surface,Canada_glacier,Glacier Cryoconite,cryoconite,Antarctica,CAN87,,,,,,,0.19,,,,,,,,,,PRJNA744712,SAMN20114949,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2005,SRX12775860,uncalculated,uncalculated,77.63 S 162.99 E,CAN87,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573806,1391f_EukBr,surface,Canada_glacier,Glacier Cryoconite,cryoconite,Antarctica,CAN81,,,,,,,0.28,,,,,,,,,,PRJNA744712,SAMN20114948,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2005,SRX12775859,uncalculated,uncalculated,77.62 S 162.98 E,CAN81,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573807,1391f_EukBr,surface,Utsteinen_nunatak,Glacier Cryoconite,cryoconite,Antarctica,Ust4,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20115009,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2017,SRX12775858,uncalculated,uncalculated,71.96 S 23.32 E,Ust4,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573808,1391f_EukBr,surface,Taylor_glacier,Glacier Cryoconite,cryoconite,Antarctica,TAY44,,,,,,,0.6,,,,,,,,,,PRJNA744712,SAMN20115008,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2008,SRX12775857,uncalculated,uncalculated,77.76 S 161.84 E,TAY44,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573809,1391f_EukBr,surface,Taylor_glacier,Glacier Cryoconite,cryoconite,Antarctica,TAY42,,,,,,,0.53,,,,,,,,,,PRJNA744712,SAMN20115007,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2008,SRX12775856,uncalculated,uncalculated,77.76 S 161.83 E,TAY42,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573810,1391f_EukBr,surface,Taylor_glacier,Glacier Cryoconite,cryoconite,Antarctica,TAY40,,,,,,,0.34,,,,,,,,,,PRJNA744712,SAMN20115006,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2008,SRX12775855,uncalculated,uncalculated,77.76 S 161.82 E,TAY40,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573811,1391f_EukBr,surface,Canada_glacier,Glacier Cryoconite,cryoconite,Antarctica,CAN75,,,,,,,0.17,,,,,,,,,,PRJNA744712,SAMN20114947,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2005,SRX12775854,uncalculated,uncalculated,77.62 S 162.96 E,CAN75,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573812,1391f_EukBr,surface,Taylor_glacier,Glacier Cryoconite,cryoconite,Antarctica,TAY38,,,,,,,0.45,,,,,,,,,,PRJNA744712,SAMN20115005,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2008,SRX12775853,uncalculated,uncalculated,77.76 S 161.84 E,TAY38,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573813,1391f_EukBr,surface,Taylor_glacier,Glacier Cryoconite,cryoconite,Antarctica,TAY29,,,,,,,0.75,,,,,,,,,,PRJNA744712,SAMN20115004,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2007,SRX12775852,uncalculated,uncalculated,77.74 S 162.13 E,TAY29,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573814,1391f_EukBr,surface,Taylor_glacier,Glacier Cryoconite,cryoconite,Antarctica,TAY19,,,,,,,0.59,,,,,,,,,,PRJNA744712,SAMN20115003,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2006,SRX12775851,uncalculated,uncalculated,77.74 S 162.10 E,TAY19,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573815,1391f_EukBr,surface,Taylor_glacier,Glacier Cryoconite,cryoconite,Antarctica,TAY18,,,,,,,0.51,,,,,,,,,,PRJNA744712,SAMN20115002,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2006,SRX12775850,uncalculated,uncalculated,77.75 S 162.00 E,TAY18,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573816,1391f_EukBr,surface,Storglaciaren,Glacier Cryoconite,cryoconite,Sweden,SZ,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20115000,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2017,SRX12775849,Sweden,Europe,,Sweden Z/SZ,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573817,1391f_EukBr,surface,Storglaciaren,Glacier Cryoconite,cryoconite,Sweden,SY,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114999,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2017,SRX12775848,Sweden,Europe,,Sweden Y/SY,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573818,1391f_EukBr,surface,Storglaciaren,Glacier Cryoconite,cryoconite,Sweden,SX,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114998,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2017,SRX12775847,Sweden,Europe,,Sweden X/SX,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573819,1391f_EukBr,surface,Midtre_Lovenbreen_glacier,Glacier Cryoconite,cryoconite,Svalbard,SvE,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114997,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2016,SRX12775846,Svalbard,Europe,,SvE,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573820,1391f_EukBr,surface,Midtre_Lovenbreen_glacier,Glacier Cryoconite,cryoconite,Svalbard,SvC,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114995,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2016,SRX12775845,Svalbard,Europe,,SvC,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573821,1391f_EukBr,surface,Midtre_Lovenbreen_glacier,Glacier Cryoconite,cryoconite,Svalbard,SvB,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114994,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2016,SRX12775844,Svalbard,Europe,,SvB,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573822,1391f_EukBr,surface,Canada_glacier,Glacier Cryoconite,cryoconite,Antarctica,CAN64,,,,,,,0.17,,,,,,,,,,PRJNA744712,SAMN20114946,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2005,SRX12775843,uncalculated,uncalculated,77.62 S 163.00 E,CAN64,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573823,1391f_EukBr,surface,Midtre_Lovenbreen_glacier,Glacier Cryoconite,cryoconite,Svalbard,SvA,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114993,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2016,SRX12775842,Svalbard,Europe,,SvA,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573824,1391f_EukBr,surface,Miers_glacier,Glacier Cryoconite,cryoconite,Antarctica,MVCS3,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114992,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",,SRX12775841,uncalculated,uncalculated,,MVCS3,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573825,1391f_EukBr,surface,Miers_glacier,Glacier Cryoconite,cryoconite,Antarctica,MVC7,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114991,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",,SRX12775840,uncalculated,uncalculated,,MVC7,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573826,1391f_EukBr,surface,Miers_glacier,Glacier Cryoconite,cryoconite,Antarctica,MVC6,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114990,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",,SRX12775839,uncalculated,uncalculated,,MVC6,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573827,1391f_EukBr,surface,Miers_glacier,Glacier Cryoconite,cryoconite,Antarctica,MVC5,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114989,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",,SRX12775838,uncalculated,uncalculated,,MVC5,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573828,1391f_EukBr,surface,Miers_glacier,Glacier Cryoconite,cryoconite,Antarctica,MVC4,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114988,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",,SRX12775837,uncalculated,uncalculated,,MVC4,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573829,1391f_EukBr,surface,Lower_Wright_glacier,Glacier Cryoconite,cryoconite,Antarctica,LWC5,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114986,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2012,SRX12775836,uncalculated,uncalculated,,LWC5,sediment metagenome,SRP327594,450,,,,,,,,,,,,
SRR16573830,1391f_EukBr,surface,Lower_Wright_glacier,Glacier Cryoconite,cryoconite,Antarctica,LWC4,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114985,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2012,SRX12775835,uncalculated,uncalculated,,LWC4,sediment metagenome,SRP327594,450,,,,,,,,,,,,
SRR16573831,1391f_EukBr,surface,Lower_Wright_glacier,Glacier Cryoconite,cryoconite,Antarctica,LWC3,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114984,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2012,SRX12775834,uncalculated,uncalculated,,LWC3,sediment metagenome,SRP327594,450,,,,,,,,,,,,
SRR16573832,1391f_EukBr,surface,Lower_Wright_glacier,Glacier Cryoconite,cryoconite,Antarctica,LWC2,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114983,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2012,SRX12775833,uncalculated,uncalculated,,LWC2,sediment metagenome,SRP327594,450,,,,,,,,,,,,
SRR16573833,1391f_EukBr,surface,Canada_glacier,Glacier Cryoconite,cryoconite,Antarctica,CAN61,,,,,,,0.19,,,,,,,,,,PRJNA744712,SAMN20114945,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2005,SRX12775832,uncalculated,uncalculated,77.61 S 162.99 E,CAN61,sediment metagenome,SRP327594,,,,,,,,,,,,,
SRR16573834,1391f_EukBr,surface,Lower_Wright_glacier,Glacier Cryoconite,cryoconite,Antarctica,LWC1,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114982,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2012,SRX12775831,uncalculated,uncalculated,,LWC1,sediment metagenome,SRP327594,450,,,,,,,,,,,,
SRR16573835,1391f_EukBr,surface,Lower_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,LKGC5,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114981,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2013,SRX12775830,uncalculated,uncalculated,,LKGC5,sediment metagenome,SRP327594,30,,,,,,,,,,,,
SRR16573836,1391f_EukBr,surface,Lower_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,LKGC4,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114980,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2013,SRX12775829,uncalculated,uncalculated,,LKGC4,sediment metagenome,SRP327594,30,,,,,,,,,,,,
SRR16573837,1391f_EukBr,surface,Lower_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,LKGC3,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114979,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2013,SRX12775828,uncalculated,uncalculated,,LKGC3,sediment metagenome,SRP327594,30,,,,,,,,,,,,
SRR16573838,1391f_EukBr,surface,Lower_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,LKGC2,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114978,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2013,SRX12775827,uncalculated,uncalculated,,LKGC2,sediment metagenome,SRP327594,30,,,,,,,,,,,,
SRR16573839,1391f_EukBr,surface,Lower_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,LKGC1,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114977,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2013,SRX12775826,uncalculated,uncalculated,,LKGC1,sediment metagenome,SRP327594,30,,,,,,,,,,,,
SRR16573840,1391f_EukBr,surface,Upper_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,KSC33,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114976,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2010,SRX12775825,uncalculated,uncalculated,,KSC33,sediment metagenome,SRP327594,800,,,,,,,,,,,,
SRR16573841,1391f_EukBr,surface,Upper_Koettlitz_glacier,Glacier Cryoconite,cryoconite,Antarctica,KSC23,,,,,,,,,,,,,,,,,PRJNA744712,SAMN20114975,"MIMARKS.survey,MIGS/MIMS/MIMARKS.sediment",2010,SRX12775824,uncalculated,uncalculated,,KSC23,sediment metagenome,SRP327594,800,,,,,,,,,,,,
